author,statement,source,date,label
Madison Czopek,The premier of Australia’s Victoria state “is freezing people’s bank accts” if they are not vaccinated. “They can’t buy or sell until forced into submission.”,Facebook posts,"November 4, 2021",false
Jill Terreri,Product shortages are manufactured; goods are stuck in warehouses.,TikTok posts,"• November 4,",pants-fire
Monique Curet,"“Moderna has been pulled in Iceland and pulled for everyone under age 30 in Finland, Sweden, Norway, Denmark due to heart issues.”",Facebook posts,"November 4, 2021",false
Samantha Putterman,"Federal agents directly incited people on Jan. 6, 2021, and ""intentionally entrapped"" American citizens.",Tucker Carlson,"November 4, 2021",false
Sasha Hupka,Social media posts suggest a CDC graph shows the COVID-19 vaccine is harmful to children and that California’s school vaccine mandate is dangerous.,Facebook posts,"November 3, 2021",barely-true
Ciara O'Rourke,President Joe Biden changed suits during his visit to the Vatican.,Viral image,"November 3, 2021",pants-fire
Tom Kertscher,“Global warming is part of (a) natural cycle and there’s nothing we can actually do to stop these cycles.”,Viral image,"November 3, 2021",false
Amy Sherman,“There are over 1 million phantom voters on the Florida voter rolls.”,Roger Stone,"November 3, 2021",pants-fire
Monique Curet,"A photo taken on Jan. 6, 2021, at the United States Capitol riot was “doctored to look as if the Capitol was on fire.”",Jack Posobiec,"November 3, 2021",false
Laura Schulte,"“States run elections, not the federal government.”",Wisconsin Senate Republicans,"November 3, 2021",barely-true
Jon Greenberg,“Greenland's ice sheet isn't shrinking any more rapidly today than it was 80 years ago.”,Steven Koonin,"November 3, 2021",barely-true
Louis Jacobson,"“Wages have gone up higher, faster than inflation.”",Joe Biden,"November 2, 2021",barely-true
Bill McCarthy,"“Jan. 6 is being used as a pretext to strip millions of Americans, disfavored Americans, of their core constitutional rights.”",Tucker Carlson,"November 2, 2021",pants-fire
Samantha Putterman,“DEA agent Mark Ibrahim was forced from his job and later indicted simply because he was near the Capitol protest on Jan. 6.”,Tucker Carlson,"November 2, 2021",false
Ciara O'Rourke,In-N-Out cups say “Let’s go Brandon.”,Viral image,"November 2, 2021",false
Duncan Slade,“Violent crime rate dropped like a rock following West Virginia’s adoption of permitless carry.”,Facebook posts,"November 2, 2021",barely-true
Monique Curet,“Virginia man arrested for having Minecraft worlds that were exact replicas of classified U.S. military bases.”,Facebook posts,"November 2, 2021",pants-fire
Tom Kertscher,"""The 550 U.S. billionaires together are worth $2.5 trillion. If we confiscated 100% of their wealth, we'd raise enough to run the federal government for less than eight months.""",Viral image,"November 2, 2021",mostly-true
Vivian Lam,"Children who receive COVID-19 vaccinations ""will be walking factories of spike proteins"" that will ""undoubtedly cause illnesses to spread like wildfire in schools.""",Instagram posts,"November 2, 2021",false
Madeline Heim,Says gubernatorial candidate Rebecca Kleefisch “worked with Scott Walker to sign five abortion restrictions into law that took away services and threatened doctors with prison time for providing safe and legal abortions.”,Kelda Helen Roys,"November 2, 2021",true
Andy Nguyen,"""National Guard to fill in for cops who refuse to get vaccinated.""",Instagram posts,"November 1, 2021",false
Louis Jacobson,“Fairfax County is not requiring the last four digits of Social Security Numbers on absentee ballots in this election.”,The Gateway Pundit,"November 1, 2021",barely-true
Samantha Putterman,“Virginia Democrat operatives” and Terry McAuliffe campaign staffers posed as white supremacists and stood by Republican Glenn Youngkin’s bus.,Facebook posts,"November 1, 2021",false
Gabrielle Settles,“The Biden administration wants to create an international oversight committee” to alter or cancel Second Amendment rights.,TikTok posts,"November 1, 2021",false
Tom Kertscher,"“Unmask your kids! Any carbon dioxide concentrations above” 2,000 parts per million are “dangerous!”",Facebook posts,"November 1, 2021",false
Kiannah Sepeda-Miller,"The migrant caravan from Tapachula, Mexico “is the population of Minneapolis.”",Mary Miller,"October 31, 2021",pants-fire
Tom Kertscher,Blood “starts to clot in a minute or two” after a Pfizer COVID-19 vaccine injection.,Instagram posts,"October 29, 2021",false
Monique Curet,“Japan drops vax rollout”,Hal Turner Radio Show,"October 29, 2021",pants-fire
Samantha Putterman,Virginia voters are being turned away from polling locations because they were told they already requested absentee ballots when they haven’t.,Facebook posts,"October 29, 2021",barely-true
Ciara O'Rourke,In-N-Out cups say “F--- Joe Biden.”,Viral image,"October 29, 2021",false
Ciara O'Rourke,"Says a CNN headline said, “In And Out is the fast food of white supremacists.”",Viral image,"October 29, 2021",pants-fire
Andy Nguyen,“Atlanta just lost 75% of its police force”,Facebook posts,"October 29, 2021",false
Ciara O'Rourke,“Trump is in White House! He promises to lock up Hillary!”,Facebook posts,"October 29, 2021",pants-fire
Paul Specht,"""Gas in North Carolina increased 14 cents per gallon this past week, the highest in the nation.""",Thom Tillis,"October 29, 2021",mostly-true
Tom Kertscher,"""There is no such thing as a booster. There is a failed product that is sometimes used again in hopes of a different outcome.”",Viral image,"October 29, 2021",false
Monique Curet,“Muslim figure: We must have pork-free menus or we will leave U.S.”,Facebook posts,"October 29, 2021",pants-fire
Ciara O'Rourke,“Navy SEALs arrested Hillary Clinton.”,Facebook posts,"October 29, 2021",pants-fire
Ciara O'Rourke,“Alec Baldwin arrested for first-degree murder and possession of child pornography.”,Viral image,"October 29, 2021",pants-fire
Tom Kertscher,"In the United Kingdom, “70-plus percent of the people who die now from COVID are fully vaccinated.”",Alex Berenson,"October 29, 2021",false
Samantha Putterman,Says Marjorie Taylor Greene tweeted: “People can’t really be convicted on such flimsy circumstantial evidence as ‘having a similar gait’ or ‘owning the identical shoes’ or ‘being in DC and not having any alibi for that time’ can they?! I don’t recognize this America.”,X posts,"October 28, 2021",pants-fire
Sabine Martin,"The Biden administration ""published a study concluding 4 (of) 5 new cars on the road by 2050 will still require liquid fuels.""",Randy Feenstra,"October 28, 2021",true
Ciara O'Rourke,Says Jen Psaki said Joe Biden wants to protect “marked people.”,Instagram posts,"October 28, 2021",false
Samantha Putterman,An image of a newspaper article says “True Bethel Baptist Church becomes the first church in NYS to receive a liquor license.”,Instagram posts,"October 28, 2021",pants-fire
Ciara O'Rourke,The Anti-Defamation League classified “Let’s go Brandon” as hate speech.,Viral image,"October 28, 2021",pants-fire
Ciara O'Rourke,"Says Donald Trump said, “Alec Baldwin, a total loser, has taken his impression of me to a new low by testing out this theory” by shooting someone.",Viral image,"October 28, 2021",false
Jill Terreri,"“Three percent is not a modest tax increase, if you own a $100,000 home in the city of Buffalo, that means an extra $300 a year.”",Byron Brown,"• October 28,",false
Krishnan Anantharaman,"“If Bezos has 200 billion dollas, and there’s 7 billion people on earth, why can’t we each get a billion and (he’d) be left with 193 billion dollas?”",Instagram posts,"October 28, 2021",pants-fire
Ciara O'Rourke,Photos show Manila Bay before and during Rodrigo Duterte’s administration.,Viral image,"October 28, 2021",half-true
Tom Kertscher,“79.4% of babies who die of ‘SIDS’ had a vaccine the same day.”,Viral image,"October 28, 2021",false
Tom Kertscher,Says Dr. Anthony Fauci planned the AIDS epidemic.,Instagram posts,"October 28, 2021",pants-fire
Ciara O'Rourke,"“Biden resigned, Pelosi was detained.”",Viral image,"October 28, 2021",pants-fire
Ciara O'Rourke,"Photo shows Sheryl Crow wearing a shirt that says, “Keep America Trumpless.”",Viral image,"October 28, 2021",false
Louis Jacobson,President Joe Biden withdrew troops from Afghanistan “simply because of Trump Derangement Syndrome and they wanted to reverse any policy that Trump had implemented.”,Facebook posts,"October 28, 2021",false
Allison Garfield,“The seasonal cold and flu is actually more dangerous for kids than the Coronavirus” and “there is very low transmissibility from children to their families and communities.”,Tom Tiffany,"October 28, 2021",barely-true
Ciara O'Rourke,“Indiana State Police offers to hire Chicago officers who REFUSE TO COMPLY with vax mandate.”,Viral image,"October 27, 2021",false
Ciara O'Rourke,A White House photographer took a picture of Donald Trump at the White House on Oct. 24.,Facebook posts,"October 27, 2021",false
Tom Kertscher,"With COVID-19, vaccinated people ""are the real threat to"" unvaccinated people.",Instagram posts,"October 27, 2021",false
Kelsey Harrell,Democrats are “asking for a blank check book to spend as much as they want without worrying about the repercussions.”,Ashley Hinson,"October 27, 2021",false
Monique Curet,“The White House referred to Christmas trees as Holiday Trees for the first time this year.”,Facebook posts,"October 27, 2021",pants-fire
Monique Curet,“Australia to Implement Quarantine Camps for the Unvaxed”,The Charlie Kirk Show,"October 27, 2021",false
Ciara O'Rourke,"Terry McAuliffe has a campaign sign that says, “Keep parents out of classrooms.”",Viral image,"October 27, 2021",false
Louis Jacobson,"“The nation reported adding 194,000 jobs in September, and Florida accounted for 84,500.”",Ron DeSantis,"October 27, 2021",half-true
Jon Greenberg,“COP26 luxury EVs to be recharged using diesel generators”,Bloggers,"October 26, 2021",barely-true
Ciara O'Rourke,The remains of Brian Laundrie that were discovered in Florida belong to a twin.,Facebook posts,"October 26, 2021",false
Ciara O'Rourke,“Trump has been reinstated.”,Facebook posts,"October 26, 2021",pants-fire
Samantha Putterman,“Barack Obama signals That Democrats Intend to Cheat in the Virginia Governor’s Election.”,Bloggers,"October 26, 2021",false
Ciara O'Rourke,The military raided Hunter Biden’s home.,Facebook posts,"October 26, 2021",pants-fire
Ciara O'Rourke,"“Clintons, Powell, and Hunter Biden have already undergone military tribunals.”",Facebook posts,"October 26, 2021",pants-fire
Madeline Heim,"Says Rebecca Kleefisch played a key role in the Foxconn deal, “the largest attempted government handout to a foreign company in American history.""",Ben Wikler,"October 26, 2021",mostly-true
Ciara O'Rourke,"Says Halyna Hutchins tweeted, “I have information that will lead to Hillary Clinton’s arrest.”",Viral image,"October 25, 2021",pants-fire
Ciara O'Rourke,“Halyna Huchins’ next project was documentary on Hollywood pedophile rings.”,Viral image,"October 25, 2021",pants-fire
Madison Czopek,“NIH COVID Treatment Guidelines Approve Ivermectin”,Instagram posts,"October 25, 2021",false
Gabrielle Settles,"“Gas prices were WAY higher in 2008, under REPUBLICAN president George W. Bush.”",Facebook posts,"October 25, 2021",half-true
Bill McCarthy,"Says he is the ""ranking member"" of the House select committee investigating the Jan. 6 attack on the U.S. Capitol.",Jim Banks,"October 25, 2021",false
Tom Kertscher,Cargo ships “can’t get into port” because of Donald Trump’s executive order 13959.,Instagram posts,"October 25, 2021",false
Tom Kertscher,“There’s been no” TV commercials for the COVID-19 vaccines because “they are required by law to list all adverse side effects.”,Instagram posts,"October 25, 2021",false
Jon Greenberg,We are seeing “the Justice Department treat American parents as domestic terrorists” under the Patriot Act.,Steve Chabot,"October 22, 2021",false
Ciara O'Rourke,Facebook is changing its hate speech policy to ban “Let’s go Brandon.”,Viral image,"October 22, 2021",false
Ciara O'Rourke,"A news report quoted Alec Baldwin saying, “How about I just f----- shoot the both of ya?”",Viral image,"October 22, 2021",false
Louis Jacobson,The newly drawn congressional district map in Arkansas “keeps communities together.”,Tom Cotton,"October 22, 2021",barely-true
Andy Nguyen,"""Southwest Airlines announce they will no longer terminate employees over the mandate.""",Facebook posts,"October 22, 2021",true
Ciara O'Rourke,“Biden flashed the white power sign while a black man was asking him a question.”,Viral image,"October 22, 2021",pants-fire
Monique Curet,"Pathologists found ""a host of non-biological components ... in the blood of vaccinated people,” including graphene chips and nanochips.",Bloggers,"October 22, 2021",pants-fire
Louis Jacobson,“We’ve created more jobs in the first eight months of my administration than any president in American history — total number of jobs created.”,Joe Biden,"October 22, 2021",half-true
D.L. Davis,"“The Walker-Kleefisch administration slashed $800 million from public schools.""",Democratic Party of Wisconsin,"October 22, 2021",barely-true
Monique Curet,"Two forms of fluoride in our drinking water “are so toxic that the CDC clearly labels these chemicals extremely toxic in both animals and humans.""",Instagram posts,"October 21, 2021",false
Lyle Muller,"""Welcome 2 Pres Biden’s America where inflation is costing households an extra $175 a month.”",Chuck Grassley,"October 21, 2021",mostly-true
Monique Curet,“Corona PCR ‘test’ is implanting a microchip.”,Facebook posts,"October 21, 2021",pants-fire
Ciara O'Rourke,There will be a “clown purge” on Oct. 30.,Viral image,"October 21, 2021",false
Tom Kertscher,"“So now if you don’t comply” and get a COVID-19 vaccination, and you’re on “Social Security or disability, you won’t be able to receive your money.”",TikTok posts,"October 21, 2021",false
Ciara O'Rourke,A video shows “the COVID-19 vaccine when it hits your blood.”,Instagram posts,"October 21, 2021",pants-fire
Amy Sherman,"The Freedom to Vote Act ""automatically registers ineligible voters.""",Heritage Action,"October 21, 2021",false
Tom Kertscher,"COVID-19 vaccines contain “RNA-modifying transhumanism nanotechnology.""",Carrie Madej,"October 21, 2021",pants-fire
Bill McCarthy,“The Canadian government threatens to fire any government employee who uses ‘Let's Go Brandon’ in communications.”,Facebook posts,"October 20, 2021",pants-fire
Ciara O'Rourke,Says Christopher Miller is “in charge of the military.”,Facebook posts,"October 20, 2021",pants-fire
Gabrielle Settles,Photo of vaccine package with 2018 date stamp shows COVID-19 outbreak was planned.,Hal Turner Radio Show,"October 20, 2021",pants-fire
Samantha Putterman,"The FEMA health care workers replacing the noncompliant nurses and doctors are NOT required to get vaccinated via the CDC.""",Instagram posts,"October 20, 2021",false
Ciara O'Rourke,“Mass media destroyed! Blackout for mass arrests event!”,Facebook posts,"October 20, 2021",pants-fire
Samantha Putterman,A nurse who fainted after receiving the COVID-19 vaccine died from the vaccination.,Instagram posts,"October 20, 2021",pants-fire
Bill McCarthy,"Desmond Tutu died on Oct. 20, 2021.",X posts,"October 20, 2021",pants-fire
Paul Specht,“The five most-endangered hospitals in the country are all in (North Carolina).”,Jeff Jackson,"October 20, 2021",barely-true
Warren Fiske,“Virginia has the lowest standards for math and reading of all 50 states.”,Glenn Youngkin,"October 20, 2021",half-true
Ciara O'Rourke,"A new federal program “is giving homeowners up to $3,708 every year.”",Bloggers,"October 19, 2021",pants-fire
Noah Y.,There is an “epidemic of plane crashes linked to vaccine-related strokes in pilots.”,Facebook posts,"• October 19,",pants-fire
Amy Sherman,Democrats “manufactured votes from low income voters to steal the battleground states.”,The Gateway Pundit,"October 19, 2021",pants-fire
Bill McCarthy,"A photo shows a $123,199 turkey for sale at Target “this year.”",Facebook posts,"October 19, 2021",false
Tom Kertscher,"In the United Kingdom, “81% of COVID-19 deaths are among the vaccinated.”",Facebook posts,"October 19, 2021",false
Tom Kertscher,"""Tennessee new law passed 48 hours ago now makes it illegal to teach Black history in the grades K-12.""",Facebook posts,"October 19, 2021",barely-true
Tom Kertscher,"COVID-19 “surges among most vaxxed communities, says Harvard study.”",YouTube videos,"October 19, 2021",half-true
Samantha Putterman,"California’s shipping backlog is, in part, caused by a “California Truck Ban which says all trucks must be 2011 or newer and a law called AB 5 which prohibits Owner Operators.”",Facebook posts,"October 19, 2021",barely-true
Samantha Putterman,Says Hunter Biden “was hanged at Gitmo.”,Facebook posts,"October 18, 2021",pants-fire
Bill McCarthy,A photo shows sex traffickers using an abandoned child car seat to lure in victims.,Facebook posts,"October 18, 2021",false
Madison Czopek,"“Parents who challenge school curriculums are domestic terrorist(s).""",Instagram posts,"October 18, 2021",false
Kayla Steinberg,Says Dr. Anthony Fauci said he will not “take a PCR COVID test.”,Instagram posts,"October 15, 2021",barely-true
Andy Nguyen,Over 2 million injuries from COVID-19 vaccines have been reported to the World Health Organization.,Instagram posts,"October 15, 2021",barely-true
Gabrielle Settles,Pfizer vaccine contains living particles that can germinate to cause sickness.,Facebook posts,"October 15, 2021",pants-fire
Tom Kertscher,"""The media is pretty quiet about Florida's decline in COVID cases. No mask mandates or vaccine mandates.""",Instagram posts,"October 15, 2021",barely-true
Ciara O'Rourke,"“Bill Clinton death ruled a homicide, death by poison.”",Viral image,"October 15, 2021",pants-fire
Jon Greenberg,“U.S. acres burned each year are much fewer now — even in our worst years — than was the case in the early 20th century.”,Heartland Institute,"October 15, 2021",barely-true
D.L. Davis,"Says Joe Biden's IRS reform proposals ""would require banks and credit unions to hand over private information about routine transactions to the IRS.""",Bryan Steil,"October 15, 2021",barely-true
Ciara O'Rourke,The percentage of vaccinated employees at United Airlines increased after the mandate because unvaccinated employees left the company.,X posts,"October 14, 2021",false
Tom Kertscher,Dr. Anthony Fauci and U.S. health officials plotted “for a new avian flu virus to enforce universal flu vaccination.”,The Gateway Pundit,"October 14, 2021",pants-fire
Jill Terreri,"“My opponent’s plan for people who commit sexual assault, sexual predators, is no jail time.”",Byron Brown,"• October 14,",false
Louis Jacobson,"People who are vaccinated for the coronavirus “cannot spread it to you.""",Joe Biden,"October 14, 2021",half-true
Ciara O'Rourke,“Pfizer admits there’s no vaccine approved by FDA.”,Bloggers,"October 14, 2021",false
Laura Schulte,"“The annual Pentagon budget hovers over $750 billion annually, twice that of the much debated Build Back Better Act that costs about $350 billion annually as currently proposed.”",Mark Pocan,"October 14, 2021",true
Madison Czopek,“Roe was the end of women dying from abortions.”,Viral image,"October 13, 2021",half-true
Louis Jacobson,“Raising the debt limit is paying our old debts. It has nothing to do with new spending.”,Joe Biden,"October 13, 2021",mostly-true
Ciara O'Rourke,“Europe COMPLETELY BANS the Moderna vaccine for young people.”,Bloggers,"October 13, 2021",false
Bill McCarthy,An image of empty grocery store shelves shows the effect of President Joe Biden's “Build Back Better” plan.,Kimberly Klacik,"October 13, 2021",false
Tom Kertscher,"“Under part 2 of the infrastructure bill, upon death the entire value of your accumulated wealth and estate will be taxed at 61%.”",Viral image,"October 13, 2021",false
Samantha Putterman,Photo shows hundreds of “sitting ships” waiting to dock at U.S. ports.,Viral image,"October 13, 2021",false
Ciara O'Rourke,The Pfizer COVID-19 vaccines contain a deadly parasite.,Viral image,"October 13, 2021",pants-fire
Ciara O'Rourke,"“Vaxxed Delta pilot dies in-flight, emergency landing required.”",Bloggers,"October 13, 2021",false
Alan Hovorka,"""The vast majority of the (refugees) coming into Fort McCoy are not the SIVs"" and some have ""no documentation at all.""",Patrick Testin,"October 13, 2021",mostly-true
Gabrielle Settles,“Paris police beat a woman for shopping at a mall with no vaccine passport.”,TikTok posts,"October 12, 2021",half-true
Noah Y.,"Department of Homeland Security “deemed as terrorism” behavior that includes “resisting COVID regulations” and “thinking the election was rigged.”...“In other words, if you are a Trump supporter, you are a terrorist.”",Instagram posts,"• October 12,",false
Bill McCarthy,A photo shows paleontologists in Greece discovering the skeleton of a giant.,Facebook posts,"October 12, 2021",pants-fire
Jon Greenberg,A wind turbine “could never generate as much energy as was invested in building it.”,Viral image,"October 12, 2021",false
Warren Fiske,“Terry (McAuliffe) calls in his friend Joe Biden to actually put the DOJ on Virginia parents.”,Glenn Youngkin,"October 12, 2021",pants-fire
Samantha Putterman,"“The Biden administration is attempting to empower the IRS to monitor every single withdrawal, deposit, and transaction you make from your personal banking accounts, PayPal, Venmo, etc.""",Candace Owens,"October 11, 2021",barely-true
Bill McCarthy,"“Countless Southwest Airlines employees have walked out of their jobs to oppose the vaccine mandate, causing operations to effectively shut down.”",X posts,"October 11, 2021",false
Gabrielle Settles,"""Bill Gates talked about using vaccines to control population growth” in an “unedited 2010 TED Talk video""",Bloggers,"October 11, 2021",false
Jon Greenberg,"""Joe Biden’s attorney general wants the FBI to go after parents for speaking out at school board meetings to protect kids from radical curriculum like critical race theory.""",Rick Scott,"October 11, 2021",false
Tom Kertscher,"""It's been confirmed that the Pfizer” COVID-19 “vaccine isn't guaranteed after six months.""",Kimberly Klacik,"October 8, 2021",barely-true
Bill McCarthy,Facebook planted Frances Haugen as its own pretend whistleblower.,Viral image,"October 8, 2021",pants-fire
Louis Jacobson,"“In case you forgot. Two years ago today, we were experiencing the greatest economy in the history of the world.”",Facebook posts,"October 8, 2021",false
Paul Specht,Ted Budd’s family used AgriBioTech money to help “give donations to these Washington special interest groups that are running negative ads against me in the Senate race.”,Pat McCrory,"October 8, 2021",barely-true
Louis Jacobson,"“Were you aware the $3.5 Trillion Human Infrastructure package includes an animal agriculture tax of $2,600‼️ per head of cattle? $500 for swine!!!""",Facebook posts,"October 8, 2021",false
Louis Jacobson,"""Thirty years ago, the United States ranked sixth among advanced economies in the share of women in the workforce. You know where we are today? Twenty-three.”",Joe Biden,"October 8, 2021",mostly-true
Tom Kertscher,"“CDC numbers” show that among children, the Pfizer and Moderna COVID-19 vaccines have a death rate “174 times higher” than the COVID-19 death rate.",X posts,"October 7, 2021",pants-fire
Samantha Putterman,A person’s immune system “tanks” after their second COVID-19 vaccine dose.,YouTube videos,"October 7, 2021",false
Bill McCarthy,"""You are more likely, as a child, to end up in the hospital because of the vaccine than you are because of COVID. That's data from the CDC and from VAERS.""",Will Cain,"October 7, 2021",false
Tom Kertscher,President Joe Biden cut “$30 billion to Black colleges and universities.”,Viral image,"October 7, 2021",false
Jon Greenberg,“There is no FDA approval for the Pfizer BioNTech vaccine for COVID-19.”,10 GOP Louisiana Lawmakers,"October 7, 2021",false
Gabrielle Settles,“COVID internment camps announced in America: Tennessee governor signs EO authorizing National Guard to carry out COVID medical kidnappings.”,TikTok posts,"October 7, 2021",pants-fire
Jon Greenberg,“There are precious few religions that actually say you cannot” get vaccinated.,Anthony Fauci,"October 6, 2021",mostly-true
Amy Sherman,“Raising the debt limit is usually a bipartisan undertaking.”,Joe Biden,"October 6, 2021",half-true
Allison Garfield,“We do not have an approved (COVID) vaccine in America … the Pfizer vaccine available in the U.S. is not FDA approved.”,Ron Johnson,"October 5, 2021",false
Elisa Contreras,"“We became a net exporter of natural gas in 2017, and until recently, our exports have exceeded our imports.”",Carol Miller,"October 5, 2021",half-true
Tom Kertscher,"""New data shows that death is proportional to dose"" for COVID-19.",Instagram posts,"October 5, 2021",false
Maxwell Ionno,"“In West Virginia, a gallon of gas is nearly one dollar more than it was a year ago, and we’re paying about 30 cents more for a gallon of milk than we did at this time last year.”",Shelley Moore Capito,"October 5, 2021",mostly-true
Louis Jacobson,"""The pharmaceutical industry has 1,400 lobbyists on Capitol Hill right now trying to stop"" Medicare drug price negotiation.",Bernie Sanders,"October 5, 2021",half-true
Samantha Putterman,"“Sophia Stewart wrote books in the 70s that were stolen from her by Warner Bros. (Terminator 1-4 & The Matrix 1 & 2!) ... she won Hollywood's biggest lawsuit, $2.5 Billion.”",Instagram posts,"October 5, 2021",false
Emma Copley,"“If you look at the hospitalizations at Ruby Memorial in West Virginia, and around the country, 90% to 95% of those hospitalized are unvaccinated.”",Kathryn Moffett Bradford,"October 5, 2021",true
John Brumley,“Overdose deaths in WV are up 45% from the prior year.”,David McKinley,"October 5, 2021",true
Jon Greenberg,Says 86% of COVID-19 cases in Israel in July were in fully vaccinated individuals.,TikTok posts,"October 5, 2021",false
D.L. Davis,On tax cuts and repealing Wisconsin’s personal property tax on businesses.,Tony Evers,"October 5, 2021",half-flip
Noah Y.,"“This ‘infrastructure bill’ on page 2,385 presents a federal property tax of 3 percent on all homes and land - both residential and commercial.”",Facebook posts,"• October 4,",pants-fire
Amy Sherman,"“Approximately 60,000 Canadians currently live undocumented in the USA.”",Cori Bush,"October 4, 2021",mostly-true
Kiannah Sepeda-Miller,“75% of Republicans have been vaccinated” against COVID-19 in Illinois.,Terri Bryant,"October 3, 2021",false
Gabrielle Settles,"""Millions have died from COVID injections.""",Bloggers,"October 1, 2021",pants-fire
Andy Nguyen,The Pfizer COVID-19 vaccine contains an “undisclosed ingredient. … How is informed consent possible?”,Instagram posts,"October 1, 2021",false
Tom Kertscher,“The vaccination campaign” increased COVID-19 deaths by 175% in one year.,Viral image,"October 1, 2021",false
Bill McCarthy,“Biden orders dishonorable discharge for 46% of troops who refuse vaccine.”,Instagram posts,"October 1, 2021",false
Isabella Fertel,“There are now 56 cargo freighters anchored off the coast of California from Oakland to Long Beach in what can only be considered a manufactured supply-chain halt.”,Facebook posts,"October 1, 2021",barely-true
Jon Greenberg,Says Sens. Joe Manchin and Kyrsten Sinema “are Republicans … Just look at the way they vote.”,Don Lemon,"September 30, 2021",barely-true
Noah Y.,"Norway decided “that (the coronavirus) should be treated like other respiratory diseases, such as the flu or cold, because… it is no more dangerous than those mentioned.”",Bloggers,"• September 30,",false
Amy Sherman,"“Arizona audit” shows 86,391 voters “don’t appear to exist.”",Facebook posts,"September 30, 2021",false
Tom Kertscher,"""Pfizer launches final study for COVID drug that's suspiciously similar to 'horse paste'” ivermectin.",Bloggers,"September 30, 2021",false
Samantha Putterman,"The government pays out ""$2,125/month in refugee benefits to refugees resettled in the United States,"" while Social Security recipients “who have paid into the system their whole lives receive $1,400/month on average.""",Instagram posts,"September 30, 2021",barely-true
Louis Jacobson,The White House “created a fake set for (President Joe) Biden to get his booster shot. The entire Biden presidency is one giant charade.”,Facebook posts,"September 30, 2021",false
Gabrielle Settles,VAERS reports show that babies whose mothers got the COVID-19 vaccine died after breastfeeding.,Instagram posts,"September 30, 2021",false
Tom Kertscher,"The audit of the 2020 presidential election in Maricopa County, Ariz., “cost the taxpayers $6 million.”",Instagram posts,"September 30, 2021",barely-true
Laura Schulte,Says the U.S. National Archives put a ‘harmful content’ warning on our nation’s Founding documents.,Glenn Grothman,"September 30, 2021",half-true
Noah Y.,The Biden-backed infrastructure bill contains a provision establishing a per-mile driving tax.,Facebook posts,"• September 29,",false
Tom Kertscher,"There are 500,000 “missing kids a year.”",Viral image,"September 29, 2021",barely-true
Amy Sherman,Arizona “could decertify” the 2020 presidential election,Facebook posts,"September 29, 2021",pants-fire
Jon Greenberg,Democrats “want to tax your retirement funds to pay for their new trillion dollar power grab.”,Common Sense Leadership Fund,"September 29, 2021",barely-true
Tom Kertscher,“The Democrats want you American taxpayers to shell out $3 billion for ‘non-racist’ trees.”,FreedomWorks,"September 29, 2021",barely-true
Warren Fiske,On qualified immunity,Terry McAuliffe,"September 29, 2021",full-flop
Bill McCarthy,"A 13-year-old girl ""is now in critical care in the hospital here in Halifax because her heart stopped right after she had a vaccine.""",Instagram posts,"September 28, 2021",false
Noah Y.,News cameras “shut off” just as Biden was asked if he gave the Taliban a “hit list” of evacuating American and Afghan officials.,Facebook posts,"• September 28,",false
Amy Sherman,Says Biden “didn’t win in Arizona. He lost in Arizona based on the forensic audit.”,Donald Trump,"September 28, 2021",pants-fire
Louis Jacobson,"A funeral home used a truck to advertise the message ""Don't get vaccinated.""",Instagram posts,"September 28, 2021",barely-true
Samantha Putterman,"""Breaking news — US Supreme Court has canceled universal vaccination in the United States.""",Instagram posts,"September 28, 2021",false
Bill McCarthy,"""Maricopa County official purged machine records before audit started.""",Instagram posts,"September 28, 2021",false
Victoria Knight,Insurance companies and Washington bureaucrats “are working together to swipe $500 billion from Medicare to pay for Pelosi and Schumer’s out-of-control spending spree.”,60 Plus Association,"September 28, 2021",false
Tom Kertscher,"“The yearly cost of religious tax exemptions: $71 billion. If the church paid taxes, everyone would only have to pay 3% taxes.”",Viral image,"September 28, 2021",false
Paul Specht,Children and teen suicide attempts “skyrocketed 250% in 2020” according to “one study done by a hospital.”,Madison Cawthorn,"September 27, 2021",barely-true
Tom Kertscher,“The NAACP wants” the Confederate Memorial Carving “sandblasted off Stone Mountain.”,Viral image,"September 27, 2021",half-true
Tom Kertscher,"""Verizon promotes defunding the police and (the) idea that America is fundamentally racist.""",TikTok posts,"September 27, 2021",barely-true
Madison Czopek,"Says doctors received a letter stating that if they “say anything bad about the vaccine,” they are “at risk of losing their medical license. How messed up is that s---?”",TikTok posts,"September 27, 2021",false
Noah Y.,"“The Arizona forensic audit found over 17,000 duplicates of votes.”",Facebook posts,"• September 27,",false
Jon Greenberg,"“Democrats are responsible for the massive spending and debt growth, they alone need to take responsibility for raising the debt limit.”",Rick Scott,"September 27, 2021",barely-true
Samantha Putterman,The FDA advisory board said unvaccinated people are more educated than most people who have gotten the COVID-19 vaccines.,Instagram posts,"September 24, 2021",false
D.L. Davis,"The GOP-controlled Legislature has ""refused to act on at least 150"" appointees of Gov. Tony Evers.",Chris Larson,"September 24, 2021",true
Gabrielle Settles,Says Canadian Prime Minister Justin Trudeau and wife Sophie faked their COVID-19 vaccinations on live television.,Facebook posts,"September 24, 2021",false
Tom Kertscher,"Says Joe Biden said: “If Haiti just quietly sunk into the Caribbean, or rose up 300 feet, it wouldn’t matter a whole lot in terms of our interests.”",Instagram posts,"September 24, 2021",half-true
